Tweet ID,Tweets with Decoded emojis,Final Annotation
3898,ترا كنت اطقطق وتوقعي فوز البايرن لو تشوف المنشن,تهكم
3899,انا ادري بس قاعده اطقطق على كلمه عزيمه,ليست تهكم
3900,اطقطق يا امعه,تهكم
3901,كنت قاعده ادور رياكشن عشان اطقطق عليكم وجع م لقيته,ليست تهكم
3902,بس جد والله شفت بالحلم برشلونه فايز ثلاثه والله صدق يعني ما اطقطق :pensive:,تهكم
3903,اكيد ياغبي جالس اطقطق وراك صدقت وش ابي اتغزل في وجهك ذا :joy::joy::sob::sob:,تهكم
3904,اها اجل ماراح اطقطق عليك :sob::sob:,ليست تهكم
3905,اطقطق على,تهكم
3906,قسم بالله ضحك لايوصف مابي اطقطق لان ورانا مباراه هاردلك برشلونيستا :thumbsup:🏼:thumbsup:🏼❤,تهكم
3907,بالله ماتشوف كلامي صحيخ والله موب قاعد اطقطق,ليست تهكم
3908,خلاص بعد مو انتين شتسوين خلاث مو مهم واحدفي مو قصدي اطقطق او شي بس شسوي لك يعني:slightly_smiling_face: tellonym,ليست تهكم
3909,طفشت وانا كل مره اطقطق عالبرشا,تهكم
3910,وانا مدريدي استحي اطقطق على برشلونه وربي فريق وضييع,تهكم
3911,صحيح والله حتى مالي نفس اطقطق,تهكم
3912,ماراح اطقطق صراحه خلينا بكرا نفوز اولا :pleading_face:,تهكم
3913,اكيد لا وبعد اجي اطقطق عليه,تهكم
3914,والله ماودي اطقطق وميلان بكرا ضد الليفر :broken_heart:,ليست تهكم
3915,انا مدريدي ومستحي اطقطق الصدق خلاص والله فضيحه,تهكم
3916,مبسوط باللي يصير ل برشلونه وودي اطقطق بس والله خايف بكره يصير فينا مثلهم,تهكم
3917,بعضهم يحسبني اطقطق لكن اتكلم بجديه حمدالله كريه ويوتر اللاعبيين لانه يهاوش اللاعب اذا اخطا هذا غير الشكل التكتيكي اذا لعب مع ابو بكر,ليست تهكم
3918,ادري ترا اطقطق هه,ليست تهكم
3919,بيشترك هليومين بس ودي قبل مايشترك اطقطق عليه:sweat_smile:,ليست تهكم
3920,والله لجل خاطر عيونكم اطقطق خفيف :joy:,تهكم
3921,بصررخخ اي قاعده اطقطق من وين جت على:sob::sob: مافيه عسل غيرك,تهكم
3922,جالسه قدام جدتي على الطاوله ومعصبه تقول ماتخافين تطيحين وتتكسرين ولما قلت لها انا قريبه للارض م اخاف منها عصبت زياده عشاني اطقطق ع طولي:sob::sob:,تهكم
3923,لا يحمار اطقطق,تهكم
3924,هديها اطقطق ترا,تهكم
3925,ودي اطقطق بس الي فيكم مكفيكم:grimacing:,تهكم
3926,صدقوني قاعده انتظر تنتهي عشان اطقطق على كومان ولا هم مافيهم رجاء,تهكم
3927,هو جالس مع ابوثنين وقاله شوف كيف اطقطق على الاماراتي:joy:,تهكم
3928,الحل الوحيد عشان ما اطقطق بالقلم اني استخدم دفتر في محاضرات ال لان الدكتور يتكلم بسرعه عشان كذا اكتب بسرعه عشان كذا اطقطق,ليست تهكم
3929,غريبه ما كان واضح اني اطقطق :joy:,ليست تهكم
3930,هه عادي اطقطق على امي تستانس عليها:full_moon_with_face:,تهكم
3931,اطقطق زي نقار الخشب:stuck_out_tongue_winking_eye:,ليست تهكم
3932,والله حفل ميت قالا صاير محتواي هاليومين مكفاني طقطقه بتويتر رحت اطقطق عليهم بسناب:sob::sob:,تهكم
3933,يرجال مره سهل بس انا اطقطق يعني,تهكم
3934,كنت اطقطق انا و اخوي عليهم اليوم و خسروا:sob::joy:,تهكم
3935,ترا م طقيت لك خبر قاعده اطقطق عليك انا وصديقاتي,تهكم
3936,الو وش فيكم صدقتوني قاعده اطقطق:sob::sob:,تهكم
3937,ودي اطقطق عليك بس تذكرت اليونايتد الله لايوفق لينغارد,تهكم
3938,ادري انا اطقطق على الي يقولو كذا,تهكم
3939,تصدق كنت اتابعه ابي اطقطق احسبه لاديني ملحد من الحياه الفطريه الي بحسابه,تهكم
3940,من حقي اطقطق على برشلونه ولا,تهكم
3941,ادري اني هم كاعد اطقطق معاك :joy::joy:,تهكم
3942,ادري بس جالس اطقطق:joy:,تهكم
3943,يرجال كيف اطقطق ما شفت حارس اسوء منه في الهدف ايش كان يسوي,ليست تهكم
3944,اطقطق عبى روس,تهكم
3945,كويس بقوم الصبح اطقطق عليك,تهكم
3946,يا الله قاعده اسمع تسجيل المحاضره و اكتشفت اني جد مزعجه و اني اكتب بالقلم على الايباد و اطقطق عليه بقوه,ليست تهكم
3947,انا اللي كنت اطقطق على اللي يبكو كثير و صرت منهم:slightly_smiling_face:,تهكم
3948,ياعمرري اطقطق اناا,تهكم
3949,هه اطقطق والله اطقطق هه,تهكم
3950,كلزقين هنا كنت اطقطق واضحه :neutral_face:,تهكم
3951,اعترف اني كل ما جيت بطقطق معك احس اني زودتها واحذف او ما اطقطق:eyes:,تهكم
3952,يا ورع جاي اطقطق عليك اني تعديتك فلاخير اشوفك اكثر,تهكم
3953,طيب وانا اطقطق,تهكم
3954,طيب وانا اطقطق لول لاحول الله بس,ليست تهكم
3955,اول شي تخسي لاانت عمي ولا يحصلي الشرف اني اقربلك ثاني شي انا كنت اطقطق بس ياشين اللي يدرعم وهو مافهم شي,تهكم
3956,حبيبتي بحبگ مابدي تزعلي وعن نفسي مارح احتفل ولا اطقطق متابعه بس لان فريقي الريال وبس,ليست تهكم
3957,اي قد وصلت لايك بس هناا اطقطق,تهكم
3958,واسوني اكتشفت ان اختي صارت نفس البنات الي اطقطق عليهم بالجامعه…,تهكم
3959,قسم بالله ودي اطقطق بس والله مدربنا عىد دفاع واحتمال كبير نلقم,ليست تهكم
3960,احبهمم والله واحب اطقطق على تطقيمهم الفرق الوحيد ان جوشوجي ماعندها خاص اقرق اذا فتحت الصفحه الشخصيه :sunglasses::yellow_heart:,تهكم
3961,ركزي ترا اطقطق,تهكم
3962,خمسننهتت يضحك بقوم الصباح عشان اطقطق عليكم متعهه:sob::sob:,تهكم
3963,فكرتها القف حق سيمبا بغيت اطقطق عليه,تهكم
3964,شكل تكتيك روبيترو اطقطق بالكوره واللعب بدلع :shit:,ليست تهكم
3965,امبيه حجي قاعده اطقطق على اطلالتها واضح اني اطقطق,تهكم
3966,مشكله اني متعاطف مع البرشا عشان السوبر ليغ وابي اطقطق محتار وش اسوي,تهكم
3967,:sob::joy:والله الى ماحسبت حسابها صدق الفقروايه صديقتي قلبت على لكن الوعد السبت اطقطق عليك,تهكم
3968,شكلك محصي وجاي تتكلم عشان تعطي لنفسك شويه ثقه بعدين ايش دخل هرمونات الذكوره والخرابيط حقتك ياعاهه انا قاعد اطقطق عليه لا تحشر طيرك في كل مكان يامحصي اذلف لا اشوفك,تهكم
3969,اعيد لك الكلام اللي فوق ولا وش يا بشر اقولك اطقطق ركز,ليست تهكم
3970,قسم بالله اطقطق ماني مستغرب من المنشن استغربت منك انت انك ما فهمت,تهكم
3971,قهر قسم كنت ابي اطقطق على سولشاير,تهكم
3972,هه اطقطق :sob: اكيد,تهكم
3973,مو ي دوبك بس قاعد اطقطق الله يسلمك,تهكم
3974,يعنني الي اطقطق واحشر وبنفس الوقت هذا يدل على انه معترف ان المدرب مفلس وسباك,تهكم
3975,اطقطق يعنني عرض وكذا هه,تهكم
3976,اقسم بالله انخرشت وانا قاعد اطقطق ضغطت العلامه السحريه وطلع صوت بنت تتكلم حسبتها وحده درعم ت علي بس ذا طلع ارشاد من تويتر عشان يعلمك على نظامها,ليست تهكم
3977,انا اذا جيت اطقطق عليك,تهكم
3978,عارف و اطقطق,تهكم
3979,قاعد اطقطق بذولي,ليست تهكم
3980,فين اقدر اشوفه ابغى اطقطق معاكم :upside_down_face:,تهكم
3981,يا رب انك اطقطق,تهكم
3982,اطقطق يهوه,تهكم
3983,اطقطق الله يشغلك في نفسك حسستني ان اخباري ويكيبيديا,تهكم
3984,قلتها اطقطق قسم,تهكم
3985,ابي اطقطق على اخوي الصدز:eyes:,تهكم
3986,:sob::sob: جايه اطقطق عليك وانا ما اعرف ارد اصلا,تهكم
3987,اطقطق عليه واشارك بسحب له:fire:,تهكم
3988,يووه يعني كذا كيف اطقطق ع الطرفين :hand_over_mouth:,تهكم
3989,كنت ابي اطقطق لكن مالقيت غيرك,تهكم
3990,احترم كل الارسنالي اللي يشجعون رونالدو وهذا حقهم بس اني اشجع نادي غريم بسبب لاعب صعب لو كنت مكان الارسناليه اللي يحبون رونالدو راح يكون الوضع عندي عادي اذا فاز وسجل اشجعه اذا خسر اطقطق على اليونايتد بس اللي اشوفه الحين في ارسناليه حزينين على خساره يونايتد :upside_down_face:,ليست تهكم
3991,هه الرجال سال و جاوبت وهو خويي و يعرفني و واضح اني اطقطق يوم قلت الكلام ذا,تهكم
3992,كلمه للبنت الطويله من اي فئه بالله علشان اطقطق على الفئه الثانيه :new_moon_with_face::hand_over_mouth:,تهكم
3993,لينجاردينهو كنت اطقطق بس لكن حرفيا الفريق يملك اسما عالميه يحتاجوا مدرب محترم فقط,ليست تهكم
3994,بس اطقطق على المهزوم,تهكم
3995,ييووه اجل ماراح اطقطق عليك مووفققه انتي تقدرين,تهكم
3996,اخذت اول مدحه وحبيت اطقطق فقط,تهكم
3997,شدعوه ترا اطقطق حبيبي لاتشدها انا افهم كوره اكثر من ابوك اصلن انا عايش على الكوره ياغبي,تهكم
3998,لا تفليها اطقطق عليك :neutral_face:,تهكم
3999,ماودي اطقطق على المانيو ونلقم,تهكم
4000,حبيبب وقسم لا اطقطق عليك,تهكم
4001,اطقطق ياخوي لكن انت شاده ضد ناغلسمان مع انه ماقصر,تهكم
4002,قاعد اطقطق على يونايتد وناسي اننا بنلعب ضد ليفربول بكرا,تهكم
4003,ودي اطقطق على كريس بس بعد شوي بنندعس,تهكم
4004,اقول القمي بس ماقصدت رونالدو بس اطقطق على اللي كل شوي يجيبون طاريهم وكلامي بعيد عن السب والعنصريه :wink:,تهكم
4005,الجنلدى لا تزعل اريد اطقطق عليكم اليووم:slightly_smiling_face::joy::joy:,تهكم
4006,ياعيال انا جمبي برشلوني بيتابع معي المباراه شلون اطقطق الحين,تهكم
4007,مستحيه اقول اني كنت اطقطق بوم قلت ان الاداره حطو ورقه وحاطين اسمي واسم صحبتي وان ممنوع نخش الاداره بس صارت صدق:sob::sob:,تهكم
4008,ترا اطقطق :sob::sob:,تهكم
4009,انت لو تفهم تعرف اني اطقطق على طموح المشجعين في هذا الفريق,تهكم
4010,اطقطق على الاكسوالز وانا ستان ايبينك,تهكم
4011,ودي اطقطق بس بنلعب مع بايرن بعد شوي,تهكم
4012,وربي لو اني برشلوني وبعد شوي مباراتي مع البايرن اني استحي اطقطق هه الزبده بنام وارجع الله يستر من النتيجه,تهكم
4013,ودي اطقطق بس تذكرت مباراه بايرن :sweat_smile:,تهكم
4014,بسم الله قاعده اطقطق نسيت ان برشلونه بيلعب ضد البايرن,تهكم
4015,اهخ مابي اطقطق عليهم ونبلع حنا,تهكم
4016,اصبروا علي ساعتين واجي اطقطق عليهم دحين مشغوله مو وقتهم :joy:,تهكم
4017,ما ودي اطقطق بكرا ضد الريال خليني ساكت افضل :rofl::rofl:,تهكم
4018,مش عايز اطقطق على مانشستر عشان احنا هنلعب الوقتي :joy::joy::heart::blue_heart:,تهكم
4019,ماودي اطقطق على مانشستر لانه اخاف فريق يخسر بكرا,تهكم
4020,ابي اطقطق على احد عندي طاقه ودي والله بعدها اكبر بلكه,تهكم
4021,خايف اطقطق,تهكم
4022,ماراح اطقطق ع رونالدو لكن موسم كارثي ينتظره,تهكم
4023,يا برشلوني لاتقول ماراح اطقطق بعد شوي بنلعب مع البايرن لا ياحبيبي خذ رااحتك لانك منزغىب منزغىب اليوم,تهكم
4024,والله كنت اطقطق خيرر و نزلتها و حذفتها ب دقايق وش ذا السمعه الخرا,تهكم
4025,لو ادور عليه كان قلت بلكي مايهمني بس اطقطق نفس اي طقطقه عادي :new_moon_with_face:,تهكم
4026,وانا اطقطق هه,تهكم
4027,مالي في الكوره خليني اطقطق بس يارب يفوز الهلال:joy::joy:,تهكم
4028,وش فيك شادها اللعبه منتهيه انا داخل اطقطق و اطلع بس هه,تهكم
4029,واضح اني اطقطق يافله,تهكم
4030,اطقطق على البلاستيك ما صدقو يدورون خطا على توخيل,تهكم
4031,لا قاعد اطقطق عليك صراحه صيده ماتتعوض:skull::skull::pray:,تهكم
4032,كنت ناويه اطقطق واضحك ضحك مو طبيعي ع مباراه برشلونه vs البايرن بس تذكرت مباراتنا الليله بعد وبنفس التوقيت واصلا ما راح اشوف مباراتهم الحمدلله انا بعيده كل البعد عن الشماته والعياذ بالله :smirk: arcaayern almoeuve,تهكم
4033,انا م كنت ناويه اقولهم بس هي طلبت التويتر حقي لاني قعدت اطقطق على سالفه مكىوه كريس وقلت اني ضحكت بالتويتر وابتلشت وعاد قلت لهم صح لقمت نصايح كثير من وحده بس ستل احب تايكوك مهما كانت علاقتهم وبعدها قلت اني م بعطيها وبس,ليست تهكم
4034,اخ انا علمي بس اطقطق:cry:,تهكم
4035,اطقطق على البلاستيك متخيل يبون اقالته البعض عشان تشيلويل صدق ما امزح شبيحه لامبارد ما صدقو لقو عيب بالمدرب,تهكم
4036,سيناريوا جميل بالنسبه لي يتقابل الهلال والنصر باسيا ويفوز النصر ويتطقطق على الهلال لين يعظ الارض ويتاهل النصر للنهائي وينهزم ونطقطق عليه كلنا لين يعظ الارض مثل الهلال :rofl::rofl: وارجع انا اطقطق على عبد الفتاح ابو كل انسان طموح يحب العصر قصدي النصر :sweat_smile::sweat_smile: ياهي ليالي :sweat_smile:,تهكم
4037,اطقطق لا اللي عندنا نفس كل الجنوب,تهكم
4038,مرضى هم جالس اطقطق عليهم لا اكثر ولا مين العاقل يبغى اقالته وانتقادهم مبالغ انا زعلان لا اكثر,تهكم
4039,يا عزيزي انا اطقطق على الاخ وسامسونج معروف انها افضل الشاشات عندها,ليست تهكم
4040,اف قهر فازو كنت باقي ابغا اطقطق على صحبتي,تهكم
4041,طيب شفيكي شادتها ترا اطقطق,ليست تهكم
4042,طيب انا قاعد اطقطق على شبيحه كاريلي فهمتني غلط الله يهداك,ليست تهكم
4043,تعادلو هه رايحه اطقطق بسم الله,تهكم
4044,ليه مسحت قبل اطقطق وش هالحاله يا ربي,تهكم
4045,اطقطق معك ياحلوه :see_no_evil::see_no_evil:,ليست تهكم
4046,وربي ماخلي اي نصراوي يوم السبت الا وانا اطقطق عليه:wink::joy:,تهكم
4047,واضح اطقطق اخ دحمي,ليست تهكم
4048,عاد هذي لعبتي اطقطق عليهم :joy::joy:,تهكم
4049,زمان كنت اطقطق على اللي يسمع محمد عبده و الحين صرت منهم صدق من عاب ابتلى,تهكم
4050,تمم تجهزي لاني بجيك اطقطق واجددز,ليست تهكم
4051,طيب ليش الاستهزاء والسخريه برجال الطب الرياضي عند دخولهم للملعب لاسعاف اللاعبين في مباراه تراكتور وان المساله ماتحتاج كل هذه الاحترازات كبيره منك ياعامر لاتقول كنت امزح لاتقول كنت اطقطق انت متابع 🖐🏻,ليست تهكم
4052,ادري قاعد اطقطق هه هه,تهكم
4053,جالسه اطقطق على اختي عشان طالعه لها حبه كبيره بنص جبهتها وبعد يومين طلعت لي بنفس المكان:grinning:,تهكم
4054,كنت اطقطق على اللي يقولون اصتغفرلله صرت زيهم شفتو كيف ربي يمهل ولا يهمل استفيدو من تجارب غيركم,تهكم
4055,المشكله مقدر اطقطق عليك :pensive:,تهكم
4056,بسحب عشان اطقطق عليك وانت رايح الجامعه هه,تهكم
4057,لا شدعوه ليه اطقطق,تهكم
4058,اطقطق يا حبي fac,ليست تهكم
4059,اطقطق عليهم ادري انه تسلل,ليست تهكم
4060,الميراث مسلسل الميراث مشاعل وراشد صباح الخير دكتورنا العظيمه تجهزين الفطور وين صوفي وغاده راحوا يتدربون ع الملاكمه وت غاده الوزن الثقيل مع صوفي وزن الذبابه صوفي اصرت كيف افهموا على بعض ترجمت كلام تعرفين فرنسي لا شوي اطقطق الحق صوفي قبل لاتروح فيها بالضربه القاضيه :joy:,تهكم
4061,:joy::joy: اطقطق على الوطنج جرب اكتب الاسم اللي انا كاتبه في محرك البحث و حط الاحدث,تهكم
4062,داري بس اطقطق لن صدق وش الفايده اذا تريلر كذبي مو بنفس الرسم في الانمي,تهكم
4063,كان ودي اطقطق بس بعدين شفت و تذكرت الحال من بعضه و كنسلت الطقطقه,تهكم
4064,هو منجد فوضى ومع نظام aوb اللي بيطبقونها علينا بنكل هوا بعد ماكنت اطقطق على حقين المدارس صرنا زيهم:sob::broken_heart:,تهكم
4065,عن نفسي ماراح اطقطق عليك :new_moon_with_face:,تهكم
4066,امبيه ودي اطقطق:sob::sob:,تهكم
4067,على مخدتي اطقطق عليك و على الي معك,تهكم
4068,اطقطق يخوي قال بس وش يقول لنك مبلكه وماشافها,تهكم
4069,والله طلع معي اطقطق وتلالي,تهكم
4070,عادي عشان ااجز قبلك و اطقطق,تهكم
4071,اطقطق على بليدس انه صور الفوتوبوك تحسينها تيزرات الكومباك مع انها احسن منها بعد,ليست تهكم
4072,اطقطق الصراحه ما ادري وش وضع فريقكم بس كلي ثقه بناغليزمان وما اتوقع يكون فوز كبير ليكم بس بتفوزوا,تهكم
4073,لاوالله يالغالي انا اطقطق ومعاهم حق ماينسونها,تهكم
4074,نسويه مو بكيفك ومن قال اني ليزيبيان اطقطق جيني مو مسلمه,ليست تهكم
4075,بموىت اطقطق:sob:,ليست تهكم
4076,قايلك لو اسحب على المحاضرات والنوم وكل شيء بس اتابعها و اطقطق عليك مع عيسى,تهكم
4077,يمه اطقطق قسم بالله:sob:,تهكم
4078,لو بطقطق جميع الحاجات اللي اقدر اطقطق عليها موجوده فيها هه,تهكم
4079,والله داريه وواضح بس اطقطق عليك هه,تهكم
4080,بغيت اطقطق عليه عليها من ** الى دادي هه,تهكم
4081,مافهمتها واضح هذا قد نقد على ارسنال عشان ريت بن وايت شيء حىل كذا وانا اطقطق,ليست تهكم
4082,لا لا ابي اطقطق عليكم,تهكم
4083,حتنا اطقطق تخيل اعطيك ميوت:joy::joy:,تهكم
4084,لا انا اقول الحقيقه يمين بالله قدامي حاذفين مو وحده مو اطقطق,ليست تهكم
4085,انا من كثر ما اطقطق على عمي الي ماعنده شنب صار انا الي ماعندي شنب:broken_heart::broken_heart:,تهكم
4086,محد اطقطق بس عشان بستعمل الرياكشن,ليست تهكم
4087,اقصد عشاني اطقطق على سيارته:joy::joy:,تهكم
4088,صوره وعاديه وقاعد اطقطق وانت حاط راشديوف وجاي تتهاوش والسالفه بيني وبين خويي وقاعد اضحك معه مادري وش دخل اهلك هدها بس,ليست تهكم
4089,حسيت نفسي شرير وانا اطقطق اسف,تهكم
4090,اطقطق اخخ,تهكم
4091,ياخي انا يوم تخسرون م اطقطق ليش انتي حي,تهكم
4092,محد قال كذا بس انت تطلع كلام و تحاليل من عقلك الي بمو بمكانه انا قاعد اطقطق على كلام كوبي وانت وجيت حشرت نفسك مسوي فيها فهيم,تهكم
4093,والله لا وهقتيني ولاشي انا ادخل تويتر اطقطق واطلع زمان كنت اهتم لحساب بس اللحين عادي جدا طقطقه اوطلع,تهكم
4094,اطالب ب سبيس بكره الصبح ابا اطقطق على الهطف مطلق,تهكم
4095,بعيد عن التغريده ابغا افهم هذا الغبي صرصور ليش حظرني لما كنت اطقطق عليه تاركني على راحتي ولما سحبت عليه حظرني :grin::joy:,ليست تهكم
4096,بس اطقطق بس تستاهلfac,تهكم
4097,اعطيني حسابه حتى انا عاوز اطقطق عليه,تهكم
4098,يووهه انا اتوترر واقد اطقطق اصابعي ويحمر وجهي واحترر:sob::sob:,ليست تهكم
4099,,تهكم
4100,انحرقت ايشش حتى انا اطقطق بالصوره هه,تهكم
4101,استغفر يولد ترا كنت اطقطق:sob::sob:,تهكم
4102,بتوتر اطقطق على الي يقولو اين ستقضي اجازه اليوم الوطني,تهكم
4103,شخصيته حلوه ماقلت شي :joy: بس اطقطق زيهم ف الانمي يشوفون ماله وجود بدون نظارته هه,تهكم
4104,اطقطق عليك شفيك :sob:,تهكم
4105,اطقطق ومعرفهم زين اصلاㅠㅠ,تهكم
4106,اطقطق على البث:sob:,تهكم
4107,م اطقطق امون انا,تهكم
4108,انا الوحيد الي اطقطق,تهكم
4109,استني فيه اتحادي يقولي راح تنهزمون وعالمطبخ استنا تنتهي المباراه عشان اطقطق عليه بعدين ابلكه:sob::sob:,تهكم
4110,يحزن ابي اطقطق عليهم بس اذا كتبت يونجون تطلع لي روزي,تهكم
4111,ماعمري قلتها بشكل جدي دايم اطقطق ولا كايدو الاقوى وبدون نقاش,تهكم
4112,اطقطق عليك من بدت الدراسه,ليست تهكم
4113,الموضوع انقلي ضدي بعد ما كنت اطقطق على الي كذا لكن عوافي ما يوقفني الا الموىت,تهكم
4114,يادلخ اطقطق على واحد شف المنشن تحت منشني,تهكم
4115,انا اعرف معناها كذا وبعدين اطقطق يعني امزح ما بقى الا الشياب اخذهم:sweat_smile::joy::joy::broken_heart:,تهكم
4116,اطقطق عليهم كله مزح,تهكم
4117,بيقصه قريب وبجي اطقطق عليك,تهكم
4118,كنت اطقطق على اختي المستجده بالجامعه و طبعا نسيت اني مستجده بالمستشفى برضو,تهكم
4119,ترا موضوع يحزنن صح هنا كنت اطقطق بس ترا منجد ابي سبيونت لتايكوك بيقهيت وصلتني لمرحله غير عاديه الله حسيبهاا,ليست تهكم
4120,متحمسه اطقطق ويت,ليست تهكم
4121,مدري كيف لي وجه اطقطق انو عندك واجب وانا عندي اختبار بعد شوي هه,تهكم
4122,والله يا اني متحمسه لخساره البرشا عشان اطقطق على مانولو,تهكم
4123,في وحده قالت مقابله بتس ورئيس كوريا فلوب وانا اطقطق عليها,تهكم
4124,ليه خليني اطقطق عليه شويه,تهكم
4125,تشوف انت انا قاعد اطقطق على فرصه ابو بكر الضايعه والناس تحتفل بالهدف,تهكم
4126,يوم اطقطق ع النصر يجيني انفولو يهو وش فيكم يا عالميين,تهكم
4127,لا مو صدق بس جالس اطقطق ع الكببز :sob::joy:,تهكم
4128,ادري يهطف اطقطق عليك:sob::sob:,تهكم
4129,قاعده اطقطق ع الدكتور وهو معنا بقروب الشعبه ولحد يوقفني,تهكم
4130,ياشيخ رحت قروب العيال اطقطق ان ابو بكر ضيع وما امداني ارسل الا وهو سجل وانا توي اشوف هجمته اللي ضاعت,تهكم
4131,شكلي والله اعلم من كثر ما كنت اطقطق على اللي حياتهم زحمه ربي بلاني لدرجه حتى وقت للتنفس ما احصل وهذا الموضوع معصبني مره مره,تهكم
4132,ترا جالسه اطقطق:sob::sob:,تهكم
4133,انا اشتري كل شيء اروح معاهم عشان اطقطق و اصور بس,ليست تهكم
4134,الله يقلع البثوث داخل اطقطق على هجمته الضايعه لقيتهم كاتبين قول,تهكم
4135,ما امداني اطقطق عليه سجل,ليست تهكم
4136,ودي اطقطق بس باكلها لما نرجع حضوري,تهكم
4137,اطقطق خذ راحتك,تهكم
4138,بما انه شخصيتي المفضله تحولت من فخر الكواكب الى فخر المزابل و تجحفلت احس نفسيتي محتاجه اتابع حلقه الامانه و اطقطق على ابن نظميه شوي :relaxed::sunglasses:,تهكم
4139,يا قليل العقل انت المعقد هنا واضح اني اطقطق صحصح,ليست تهكم
4140,رايح مع اخوياي النصراويين عشان ان شاءالله اطقطق عليهم بعد المباراه,تهكم
4141,,تهكم
4142,انتي الي وش فيك شادتها ترا اطقطق وايش دخلني اصلا اذا هيا كاتمك ههخ,تهكم
4143,كبرك انا اطقطق معك,تهكم
4144,عبالي الحين والله واضح اني بتابعها عشان اطقطق :facepalm:🏼ud:male_sign:,ليست تهكم
4145,لا لا تقولين من اليوم اطقطق عليهم :new_moon_with_face:,تهكم
4146,اهخخ اححبكك بس صايره اطقطق كثير بالتعليقات تمسك معي رجعت لقبل امشي واطقطق الله يعين:sob::sob:,ليست تهكم
4147,يمدحونهه اطقطق:joy::joy::broken_heart:,تهكم
4148,خلني اطقطق عليك عقب الحادث اللي سويته اليوم اطلع كل الخوف والروعه بفريقكم:broken_heart::upside_down_face::hand_over_mouth:,تهكم
4149,لحد يفهم غلط القلب البنفسجي كنت اطقطق على الكبوب,تهكم
4150,الله ياخذك كنت اطقطق :sob::sob:,تهكم
4151,ابشري كذا حاشه اطقطق شوي واطلع,تهكم
4152,صحيح محتاجه اطقطق وانبسط :sob::sob:,تهكم
4153,ادري بس اطقطق الامبراطوريه الرومانيه في نتفلكس مدري اذا كانت دقيقه في التاريخ لكن شفتها واعجبني,ليست تهكم
4154,هه ادري اطقطق مين ما يحبه,تهكم
4155,صورتها و راح ارجع اطقطق عليك لاني داري انك تجذف التغريدات دايما,تهكم
4156,مصدقه انت:sob::sob: اطقطق⚰,تهكم
4157,ودي اطقطق بس احس حرام رحمتك,ليست تهكم
4158,ههخخ ادري بس اطقطق,تهكم
4159,باذن الله خساره النصر حتى نسمع صياحهم راح ارجع لكم بعد المباراه عشان اطقطق كاني واثق دايما الفرق الايرانيه كعبها عالي على ابوترشيح النصر تراكتور,تهكم
4160,جالسه اطقطق :kissing_heart:,تهكم
4161,شفيك انت قاعد اطقطق هدها,تهكم
4162,ولي وجه اطقطق ياكرهي,تهكم
4163,ترا اطقطق لا تشدينها,تهكم
4164,ترا اطقطق يوم كتبته كذا:joy::joy:,تهكم
4165,بالتوفيق للعالمي هذا المساء فوز لن نرضا بغير الفوز عندي عالم :blue_heart: ابغى اطقطق عليهم الليله,تهكم
4166,لحظه مين اكبر طيب عشان اعرف اكلمك ب احترام ولا اطقطق عليك يالكوهاي,تهكم
4167,مافي اي صيغه اطقطق,تهكم
4168,بكرا افكر عاد اطقطق عليك او لا:sob::sob:,تهكم
4169,ادري بس اطقطق ع الهداف التاريخي المقشراتي لكره القدم,تهكم
4170,انا الي جالس اطقطق على عقليتهم المريضه مسوين نفسهم مثقفين وهم حتى البهائم ما يصلوا لها و تكرم البهائم عنهم,تهكم
4171,وحتنا اطقطق زيكم,تهكم
4172,بخاطري اطقطق عليك بكرا يارب ماتقعد بخاطري وتصير هه,تهكم
4173,تمام ممكن اتمنى النصر يطلع عشان اطقطق بس مو لذي الدرجه والله لو معطينك الايرانيين فلوس ماتسوي كذا سلامات حاله مرضيه ذي الله لايبلانا,تهكم
4174,انا اطقطق ع الفقراويه واحاول اتناسى البرسا :broken_heart::broken_heart:,تهكم
4175,ان شاء الله اجي اطقطق عليك بعد المباراه,تهكم
4176,اما تحسبوني اطقطق,ليست تهكم
4177,ريلاكس هدينا واضحه اطقطق,ليست تهكم
4178,انا كنت مشجعه سابقه لهم ماراح اطقطق :joy_cat::joy_cat:,تهكم
4179,:sob::sob: ما اصدق بس احب اطقطق tbh تشخشتشهشخشنششنن,تهكم
4180,اطقطق على نوعيتها الغبيه عادي تقول علر ذولا وع بس اذا قلت وع على واحد من الي تحبهم تعطيك الف سطر محاظره هه,تهكم
4181,كنت اطقطق على القحطانيه وذ نكهه وصرت اتكلم زيها بدون ما احس حسبي الله عاد عرق البدو فيني ما صدق على الله يطلع,تهكم
4182,شكله عشان اطقطق,تهكم
4183,ماعندي سالفه قلت اطقطق بس توبه اطقطق معك هه,تهكم
4184,ما عندي مانع و ما اطقطق اصلا,ليست تهكم
4185,هي اطقطق:sob::sob:هه,تهكم
4186,اطقطق والله عليهم,تهكم
4187,تسولف عن الكوره بالعمل احيانا اذا انهزم الهلالي احب اطقطق عليه بس روحنا رياضيه ما نشيل على بعض تضيع وقت وتنكيت فقط لا غير,تهكم
4188,تخيل الناس يشيلون الفولو مني هه اطقطق,ليست تهكم
4189,كنت اطقطق شوي عليهم بس تذكرت ان سهيل بيفرح اذا فازو وكنسلتها,تهكم
4190,مافهنت قاعد اطقطق على سعرته بس توقعي انها تقريبا,ليست تهكم
